,Lat,Long.,Nearest_Hotel,City,Country
9,-32.04,-52.1,Laghetto Viverone Rio Grande,Rio Grande,BR
19,-30.18,-50.21,Hotel Castelo,Cidreira,BR
38,-38.0,-57.56,Hotel Las Rocas,Mar del Plata,AR
45,25.99,-80.23,Quality Inn & Suites Hollywood Boulevard Port Everglades Cruise Port Hotel,Miramar,US
55,-0.95,100.35,Air Manis Hill Residence,Padang,ID
100,-3.8,102.27,Mercure Bengkulu,Bengkulu,ID
114,1.45,125.18,favehotel Bitung - North Sulawesi,Bitung,ID
126,-26.37,-70.05,Hotel Hambyll,Diego de Almagro,CL
157,-28.47,-65.79,Amerian Catamarca Park Hotel,San Fernando del Valle de Catamarca,AR
162,-41.87,-73.82,Panamericana Hotel Ancud,Ancud,CL
172,38.42,-121.42,Hilton Garden Inn Sacramento Elk Grove,Laguna,US
219,7.14,5.26,,Ilesha,NG
252,-38.55,-58.74,Hotel Ñikén Spa & Business Center,Necochea,AR
300,12.89,-86.54,Hotel Blanco,El Sauce,NI
302,-33.23,-54.38,Hotel Treinta y Tres,Treinta y Tres,UY
309,4.41,114.01,Miri Marriott Resort & Spa,Marabu,MY
362,14.03,-84.59,Hotel SAN RAFAEL,Bonanza,NI
372,-12.52,-76.74,,Chilca,PE
375,22.57,59.53,Sur Plaza Hotel,Sur,OM
392,-34.73,135.87,Port Lincoln Hotel,Port Lincoln,AU
403,-23.49,-58.8,Hotel Marriot ⭐️⭐️⭐️⭐️,Pozo Colorado,PY
412,9.97,98.63,Sook Hotel,Ranong,TH
415,-35.12,139.27,Balcony On Sixth Lodge,Murray Bridge,AU
427,18.9,-3.53,,Araouane,ML
430,9.6,-5.2,Hôtel Aguié Koanin,Ferkessédougou,CI
437,4.1,30.68,City Link Hotel,Yei,SS
444,-17.71,-39.25,Mar Doce de Abrolhos,Caravelas,BR
456,24.7,-77.77,Dream Villas,Andros Town,BS
458,36.62,-121.92,Hotel 1110,Pacific Grove,US
466,25.05,61.74,Victoria Hut,Jiwani,PK
480,4.95,23.92,,Rafai,CF
483,12.39,-5.46,Hotel Flasso 1,Koutiala,ML
501,16.33,-15.0,,Saint-Louis,SN
507,-29.15,-59.65,Grand Hotel,Reconquista,AR
508,12.49,-16.55,Oussouye Bed&Breakfast,Oussouye,SN
514,-28.78,32.04,BON Hotel Waterfront Richards Bay,Richards Bay,ZA
520,8.57,16.08,Club du Logone,Moundou,TD
524,-14.47,-48.46,Ônix Center Hotel,Niquelândia,BR
526,14.89,5.27,Hotel Etab,Tahoua,NE
532,4.93,-52.33,Hotel Amazonia Cayenne,Cayenne,GF
