,City,Country,Cloudiness (%),Current Temp (F),Date,Humidity,Lat,Long.,Max Temp (F),Wind Speed (mph)
0,Ponta do Sol,PT,96,56.53,1/19/2021 23:16,81,32.67,-17.10,61,12.91
1,Atuona,PF,17,78.24,1/19/2021 23:16,73,-9.80,-139.03,78.24,11.18
2,Barrow,US,90,-2.2,1/19/2021 23:16,78,71.29,-156.79,-2.2,21.85
3,Saint-Philippe,RE,0,76.14,1/19/2021 23:16,74,-21.36,55.77,80.6,2.3
4,Daye,CN,43,45.46,1/19/2021 23:16,59,30.08,114.95,45.46,6.4
5,Rome,US,75,29.93,1/19/2021 23:16,74,43.21,-75.46,30.99,8.05
6,Cape Town,ZA,20,66.22,1/19/2021 23:12,68,-33.93,18.42,68,18.41
7,Provincia di Perugia,IT,75,41.04,1/19/2021 23:16,100,43.05,12.55,44.01,3.44
8,Ordzhonīkīdze,KZ,100,8.06,1/19/2021 23:16,96,52.44,61.74,8.06,1.19
9,Rio Grande,BR,0,72,1/19/2021 23:16,74,-32.04,-52.10,72,11.63
10,Nikolskoye,RU,75,23,1/19/2021 23:17,86,59.70,30.79,23,4.47
11,Malatya Province,TR,0,14,1/19/2021 23:14,79,38.50,38.00,14,2.3
12,Whitianga,NZ,30,66,1/19/2021 23:17,72,-36.83,175.70,66,11.01
13,Mahébourg,MU,20,77,1/19/2021 23:16,94,-20.41,57.70,77,3.44
14,Vestmannaeyjar,IS,2,35.78,1/19/2021 23:17,80,63.44,-20.27,35.78,24.16
15,Hauterive,FR,0,41,1/19/2021 23:17,42,46.09,3.45,41,21.85
16,Ushuaia,AR,20,59,1/19/2021 23:17,58,-54.80,-68.30,59,9.22
17,Erdenet,MN,0,8.65,1/19/2021 23:17,79,49.03,104.08,8.65,1.88
18,Qaanaaq,GL,99,2.44,1/19/2021 23:17,72,77.48,-69.36,2.44,7.99
19,Cidreira,BR,10,72.52,1/19/2021 23:17,70,-30.18,-50.21,72.52,13.13
20,Tynda,RU,100,-35.25,1/19/2021 23:17,81,55.17,124.72,-35.25,2.48
21,Kesztölc,HU,100,34,1/19/2021 23:17,88,47.71,18.80,35.01,4.21
